time,open,high,low,close,volume,ticker
2020-01-02,59640,60420,59640,59980,87010,BVH
2020-01-03,60330,60330,59550,59640,59290,BVH
2020-01-06,59370,59550,58770,58770,129160,BVH
2020-01-07,59030,59110,58590,58680,67160,BVH
2020-01-08,58160,58160,57120,57370,163230,BVH
2020-01-09,58420,58420,56590,56590,157250,BVH
2020-01-10,57370,58510,56510,58240,136260,BVH
2020-01-13,58160,58240,57800,57990,63230,BVH
2020-01-14,57800,58240,56510,57370,171640,BVH
2020-01-15,57730,57730,56770,57300,92440,BVH
2020-01-16,57210,57640,57210,57370,157100,BVH
2020-01-17,57460,57460,57120,57300,131930,BVH
2020-01-20,57300,57550,56590,56860,107680,BVH
2020-01-21,57210,57300,56680,57300,119020,BVH
2020-01-22,56770,58240,56680,58240,156250,BVH
2020-01-30,57300,57370,54340,54860,335430,BVH
2020-01-31,54860,56150,51120,51120,176570,BVH
2020-02-03,47810,50590,47550,48340,270730,BVH
2020-02-04,47910,49560,47910,48420,312880,BVH
2020-02-05,48590,49650,48500,49370,298760,BVH
2020-02-06,50430,50770,49650,50770,176570,BVH
2020-02-07,51810,51990,50940,51990,158980,BVH
2020-02-10,51900,51900,49720,49990,208410,BVH
2020-02-11,49990,50430,49810,50250,210080,BVH
2020-02-12,51550,51550,49900,49990,192330,BVH
2020-02-13,50680,50680,49810,49990,145610,BVH
2020-02-14,49990,50150,49560,49560,215320,BVH
2020-02-17,49560,49990,49030,49030,178000,BVH
2020-02-18,49810,49810,48690,48780,313670,BVH
2020-02-19,48780,49560,48250,49030,159970,BVH
2020-02-20,49030,50430,49030,49990,281140,BVH
2020-02-21,49990,51990,49990,50860,369290,BVH
2020-02-24,47380,49990,47380,48690,211810,BVH
2020-02-25,48250,49470,48250,49470,98010,BVH
2020-02-26,48420,49210,48250,48250,258550,BVH
2020-02-27,48340,49030,47470,49030,240770,BVH
2020-02-28,47810,48250,47380,47720,225310,BVH
2020-03-02,47720,48250,47550,47550,150220,BVH
2020-03-03,48250,48500,47720,48420,134260,BVH
2020-03-04,48420,48420,47810,48420,98150,BVH
